project,shuffle,threshold,prediction_cap,evaluated_commits,clean_f1,clean_mcc,clean_recall,clean_ppv,clean_mean_fp,clean_mean_predicted_size,clean_cap_hit_rate,clean_test_seconds,baseline_note,comparable,baseline_f1,baseline_mcc,baseline_recall,baseline_ppv,delta_f1,delta_mcc,delta_recall,delta_ppv
cassandra,0,0.9500000000000004,8,485,0.4608274886625402,0.49414137004385605,0.4976730486008836,0.5878694158075601,2.2783505154639174,3.8989690721649484,0.18144329896907216,59.16312155800006,,True,0.45778093040979645,0.4994392488818408,0.4408100147275405,0.676426116838488,0.0030465582527437474,-0.005297878837984771,0.05686303387334313,-0.08855670103092783
cassandra,1,0.9500000000000004,8,485,0.4574733399475668,0.49146579074256724,0.5014972999509082,0.5815144820814924,2.290721649484536,3.8989690721649484,0.177319587628866,55.52219511000112,,True,0.449540802839772,0.4914486086331074,0.4323392243495336,0.6689469808541973,0.00793253710779479,1.718210945983456e-05,0.0691580756013746,-0.08743249877270498
cassandra,2,0.9500000000000004,8,485,0.45674420653802106,0.4893111865233706,0.4930117820324006,0.5822680412371134,2.2762886597938143,3.868041237113402,0.17525773195876287,59.96839883299981,,True,0.4509652146250085,0.4928695908851645,0.4283971526755032,0.6762052037309769,0.0057789919130125655,-0.003558404361793943,0.06461462935689738,-0.09393716249386352
cassandra,3,0.9500000000000004,8,485,0.44938521959140515,0.4820030239884278,0.49234658811978405,0.5682498772704958,2.3422680412371135,3.9381443298969074,0.177319587628866,67.755311384999,,True,0.4436053579868013,0.4859571777806498,0.4337088856161021,0.6584315169366715,0.005779861604603864,-0.0039541537922219705,0.05863770250368194,-0.09018163966617565
cassandra,4,0.9500000000000004,8,485,0.4574399426461282,0.48878191446717806,0.5025085910652921,0.5681909671084928,2.3484536082474228,3.971134020618557,0.18144329896907216,71.71335095500035,,True,0.45684865535381003,0.4998698111932118,0.4427859597447227,0.6774374079528718,0.0005912872923181656,-0.011087896726033719,0.05972263132056943,-0.10924644084437896
laravel,0,0.9500000000000004,4,255,0.6239589169000933,0.6569268027515421,0.5509803921568628,0.8441176470588235,0.47843137254901963,1.6980392156862745,0.10980392156862745,1.3355683429999772,,True,0.6245191409897292,0.6641504407832864,0.503921568627451,0.918954248366013,-0.0005602240896358524,-0.007223638031744306,0.04705882352941182,-0.0748366013071895
laravel,1,0.9500000000000004,4,255,0.60765639589169,0.6395268065986677,0.5405228758169934,0.8183006535947713,0.5607843137254902,1.7568627450980392,0.12156862745098039,1.9453517839992855,,True,0.6142483660130719,0.6522602518642019,0.4980392156862745,0.8980392156862745,-0.006591970121381907,-0.012733445265534216,0.042483660130718914,-0.0797385620915032
laravel,2,0.9500000000000004,4,255,0.6149579831932772,0.6464519592168902,0.5503267973856208,0.8212418300653596,0.5647058823529412,1.7843137254901962,0.13333333333333333,2.2008432109996647,,True,0.6188235294117647,0.6580103111561577,0.49607843137254903,0.9137254901960784,-0.003865546218487448,-0.011558351939267464,0.054248366013071814,-0.09248366013071885
laravel,3,0.9500000000000004,4,255,0.6129785247432306,0.6444037108165335,0.5444444444444444,0.8228758169934641,0.5490196078431373,1.7568627450980392,0.12156862745098039,2.2968831449998106,,True,0.6241643323996264,0.6639655203523734,0.5019607843137255,0.9209150326797385,-0.011185807656395874,-0.01956180953583997,0.042483660130718914,-0.09803921568627438
laravel,4,0.9500000000000004,4,255,0.6118767507002801,0.642385069916144,0.5450980392156862,0.8163398692810457,0.5725490196078431,1.780392156862745,0.12156862745098039,2.103304031999869,,True,0.6205042016806721,0.6603096968334625,0.49738562091503263,0.9183006535947713,-0.00862745098039197,-0.017924626917318554,0.04771241830065359,-0.10196078431372557
lucene,0,0.9500000000000004,8,397,0.5782712340424594,0.6285414382866843,0.4769621366598697,0.9098416696653473,0.28463476070528965,1.5541561712846348,0.005037783375314861,3.857202830999995,,True,0.5513901855211678,0.5991630179789962,0.4872686018152013,0.8353394506417178,0.026881048521291584,0.029378420307688113,-0.010306465155331623,0.07450221902362952
lucene,1,0.9500000000000004,8,397,0.5783184489733608,0.6288147804647942,0.47549578185598335,0.9128463476070529,0.23425692695214106,1.4886649874055415,0.0,4.034305187000427,,True,0.5558992085440448,0.6059100199128393,0.49181260245491987,0.8503928271560514,0.02241924042931598,0.022904760551954895,-0.01631682059893652,0.0624535204510015
lucene,2,0.9500000000000004,8,397,0.5772970102944914,0.6264162507410732,0.4723741553716365,0.9067980088760945,0.27204030226700254,1.5390428211586902,0.0025188916876574307,3.95461752600022,,True,0.5603303427610732,0.6083251550151391,0.49066110911199073,0.8507556675062973,0.016966667533418245,0.018091095725934148,-0.018286953740354217,0.056042341369797244
lucene,3,0.9500000000000004,8,397,0.5757744025783735,0.6259918573033759,0.4715145336052137,0.909256926952141,0.25692695214105793,1.5188916876574308,0.0025188916876574307,3.884867636999843,,True,0.5512661093043373,0.6000079543403137,0.4904701931150294,0.8363140218303946,0.024508293274036252,0.02598390296306219,-0.018955659509815648,0.0729429051217464
lucene,4,0.9500000000000004,8,397,0.5756888088122345,0.6267279714032883,0.4689876454360081,0.9152872735996163,0.24433249370277077,1.4987405541561714,0.0,3.7924242790013523,,True,0.5437068808605332,0.5938454198863954,0.47916716644676344,0.8395945783855104,0.031981927951701294,0.0328825515168929,-0.01017952101075531,0.07569269521410582
monitorcontrol,0,0.9000000000000004,10,61,0.5100390180910913,0.5765425611479627,0.3638483783975587,0.994535519125683,0.01639344262295082,1.1967213114754098,0.0,1.939784420000251,,True,0.39492195026885174,0.41130353503391753,0.4713783029356799,0.5029274004683841,0.11511706782223957,0.16523902611404512,-0.10752992453812121,0.4916081186572989
monitorcontrol,1,0.9000000000000004,10,61,0.5064374284239278,0.5736499122946171,0.3623249473659309,0.994535519125683,0.01639344262295082,1.1639344262295082,0.0,1.5774655579989485,,True,0.38922118670380357,0.4141067542130391,0.4187155512975184,0.5755204267499349,0.11721624172012424,0.15954315808157804,-0.05639060393158751,0.4190150923757482
monitorcontrol,2,0.9000000000000004,10,61,0.49692426399273065,0.5660573784843881,0.35394607669197825,0.994535519125683,0.01639344262295082,1.1147540983606556,0.0,1.540338951999729,,True,0.37684169200562645,0.4058286440621466,0.4622421522011686,0.5286429872495446,0.1200825719871042,0.1602287344222415,-0.10829607550919035,0.46589253187613844
monitorcontrol,3,0.9000000000000004,10,61,0.5075693566050363,0.5745700981417887,0.36132312587230614,0.994535519125683,0.01639344262295082,1.180327868852459,0.0,1.6475578760000644,,True,0.40193330780043457,0.429214867663801,0.4642375156719419,0.5621584699453552,0.10563604880460176,0.1453552304779877,-0.10291438979963574,0.4323770491803278
monitorcontrol,4,0.9000000000000004,10,61,0.5214445524474454,0.5856408537241211,0.3741646559269509,0.994535519125683,0.01639344262295082,1.2459016393442623,0.0,1.807090848998996,,True,0.4069198225798743,0.437993201229324,0.45325887682445054,0.5987249544626594,0.11452472986757106,0.1476476524947971,-0.07909422089749962,0.39581056466302367
pydriller,0,0.9000000000000004,4,74,0.5990990990990991,0.6436235231797542,0.45833333333333337,0.9707207207207207,0.06756756756756757,1.162162162162162,0.0,0.400015139000061,,True,0.5871621621621622,0.6110341528087092,0.5180180180180181,0.8164414414414415,0.01193693693693687,0.032589370371045034,-0.059684684684684686,0.1542792792792792
pydriller,1,0.9000000000000004,4,74,0.6054054054054053,0.6519883836085739,0.4594594594594595,0.9887387387387386,0.02702702702702703,1.1216216216216217,0.0,0.34473069200066675,,True,0.5722651222651222,0.5961940921109221,0.48986486486486486,0.8186936936936936,0.03314028314028317,0.055794291497651805,-0.030405405405405372,0.17004504504504503
pydriller,2,0.9000000000000004,4,74,0.6013513513513513,0.6461201328510455,0.46171171171171166,0.972972972972973,0.08108108108108109,1.1891891891891893,0.013513513513513514,0.4350120299986884,,True,0.5973294723294723,0.6228486373402876,0.5101351351351351,0.8490990990990991,0.004021879021879005,0.02327149551075791,-0.04842342342342343,0.12387387387387394
pydriller,3,0.9000000000000004,4,74,0.5891891891891892,0.634739903228401,0.4527027027027027,0.9628378378378378,0.10810810810810811,1.1891891891891893,0.013513513513513514,0.363197274000413,,True,0.5817889317889319,0.5994204840564541,0.49324324324324326,0.8074324324324323,0.007400257400257293,0.03531941917194692,-0.04054054054054057,0.15540540540540548
pydriller,4,0.9000000000000004,4,74,0.5918918918918918,0.6384914704533924,0.454954954954955,0.9695945945945946,0.0945945945945946,1.1756756756756757,0.013513513513513514,0.3506067760008591,,True,0.5716859716859717,0.6007344504430752,0.4752252252252253,0.8490990990990991,0.020205920205920158,0.03775702001031722,-0.020270270270270285,0.12049549549549554
react,0,0.9500000000000004,6,446,0.5150581730178142,0.5410907012910222,0.5973841554559044,0.5554559043348282,2.0896860986547083,3.6143497757847536,0.3071748878923767,13.978959942000074,,True,0.5591205132684954,0.593247921641358,0.5184230194319881,0.7545964125560537,-0.04406234025068123,-0.052157220350335765,0.0789611360239163,-0.19914050822122553
react,1,0.9500000000000004,6,446,0.5215366347653343,0.5487415157657874,0.6114723467862482,0.5594170403587444,2.1053811659192827,3.6704035874439462,0.34080717488789236,12.890497950000281,,True,0.5641551647157029,0.5975651737275302,0.5276532137518685,0.7532511210762332,-0.04261852995036863,-0.048823657961742706,0.08381913303437971,-0.19383408071748875
react,2,0.9500000000000004,6,446,0.5249865729686357,0.5514613895455299,0.6097533632286996,0.5644618834080718,2.100896860986547,3.6681614349775784,0.3295964125560538,14.335022982999362,,True,0.5762414342010755,0.6087320014811975,0.5345665171898356,0.7655829596412556,-0.05125486123243983,-0.057270611935667626,0.07518684603886394,-0.20112107623318376
react,3,0.9500000000000004,6,446,0.5273202880826199,0.5535165314275012,0.6242899850523168,0.5537369207772795,2.1569506726457397,3.757847533632287,0.34080717488789236,14.242337629000758,,True,0.577522664181857,0.6078372382225145,0.5401718983557549,0.7532884902840059,-0.05020237609923717,-0.05432070679501322,0.08411808669656196,-0.19955156950672637
react,4,0.9500000000000004,6,446,0.523833951300319,0.550458487955143,0.6181240657698056,0.554559043348281,2.1479820627802693,3.7376681614349776,0.3452914798206278,13.64620202200058,,True,0.5793078122674536,0.610627785493797,0.5359865470852018,0.7650597907324366,-0.05547386096713469,-0.060169297538654076,0.08213751868460384,-0.21050074738415558
rocketmqclients,0,0.9500000000000004,6,159,0.439996477399363,0.4859774020606378,0.4136813919832789,0.7114255765199162,1.421383647798742,3.0440251572327046,0.1761006289308176,2.543125934999807,,True,0.4354459771437983,0.4760844054890071,0.42310099055382083,0.6669811320754717,0.004550500255564693,0.009892996571630674,-0.00941959857054192,0.04444444444444451
rocketmqclients,1,0.9500000000000004,6,159,0.43994138594582544,0.48643803501276794,0.41846968545081753,0.7091194968553459,1.4339622641509433,3.0628930817610063,0.1949685534591195,2.56982250800138,,True,0.4172171450429526,0.4551713056818288,0.4151025250081855,0.6279874213836477,0.02272424090287284,0.03126672933093916,0.0033671604426320223,0.0811320754716982
rocketmqclients,2,0.9500000000000004,6,159,0.4520727412514316,0.4983802086364285,0.4361232408402221,0.7137316561844864,1.3962264150943395,3.10062893081761,0.18238993710691823,2.6889157839996187,,True,0.4249144445738873,0.46215364209076515,0.4359064241139713,0.620125786163522,0.027158296677544325,0.03622656654566336,0.0002168167262507903,0.09360587002096443
rocketmqclients,3,0.9500000000000004,6,159,0.43179986216378535,0.4807568281333686,0.4218111203960262,0.7027253668763104,1.4779874213836477,3.10062893081761,0.1949685534591195,2.4689758610002173,,True,0.43270108896021625,0.47405714876720767,0.4246440317195035,0.6685534591194969,-0.0009012267964308984,0.006699679366160949,-0.002832911323477294,0.03417190775681345
rocketmqclients,4,0.9500000000000004,6,159,0.4373336574224476,0.4816005916124907,0.4135884381167401,0.6982180293501048,1.4842767295597483,3.106918238993711,0.1949685534591195,2.6284436319983797,,True,0.42185057555698363,0.460980710515214,0.41071952156857827,0.6501048218029349,0.015483081865463988,0.020619881097276693,0.0028689165481618484,0.048113207547169856
spark,0,0.9500000000000004,4,486,0.5231819963301445,0.5604075689283827,0.5030202821869488,0.7187928669410152,1.0308641975308641,2.4814814814814814,0.40329218106995884,14.836897640999268,,True,0.493593340815563,0.5326591104113592,0.45659905937683715,0.7146776406035665,0.029588655514581508,0.027748458517023566,0.046421222810111684,0.004115226337448652
spark,1,0.9500000000000004,4,486,0.5309745010362295,0.568672253282973,0.5075960219478738,0.7323388203017833,0.9979423868312757,2.460905349794239,0.40329218106995884,12.445530580000195,,True,0.4937241313784524,0.534179959401131,0.448304918675289,0.7285665294924555,0.03725036965777706,0.03449229388184194,0.0592911032725848,0.0037722908093278384
spark,2,0.9500000000000004,4,486,0.5322415810070132,0.5714890928519946,0.5040980795610426,0.7451989026063099,0.9300411522633745,2.376543209876543,0.3683127572016461,14.09909957400123,,True,0.5087625223427693,0.5480143947199319,0.46154712913972173,0.739368998628258,0.023479058664243935,0.02347469813206271,0.04255095042132084,0.005829903978051942
spark,3,0.9500000000000004,4,486,0.5300825717492386,0.5661229954273029,0.5097418185381148,0.7210219478737997,1.0185185185185186,2.4794238683127574,0.3950617283950617,13.663435125999968,,True,0.49596330738306044,0.5343975912759141,0.45922986478542027,0.7131344307270233,0.034119264366178126,0.0317254041513888,0.05051195375269457,0.00788751714677638
spark,4,0.9500000000000004,4,486,0.5200900836703306,0.5577294304346151,0.4972540662355477,0.7208504801097394,1.0349794238683128,2.4650205761316872,0.4074074074074074,13.236779812999885,,True,0.4917324330904578,0.5311141564682058,0.45370860278267683,0.7145061728395061,0.02835765057987283,0.02661527396640928,0.04354546345287086,0.006344307270233274
