2019-04-02 15:27:35+02:00,26,6
2019-04-04 14:18:52+02:00
2019-04-04 14:19:45+02:00
2019-04-04 14:23:51+02:00,70
2019-04-04 14:31:50+02:00,70
2019-04-04 14:35:10+02:00,70
2019-04-05 13:09:46+02:00,70
2019-04-05 13:18:59+02:00,6
2019-04-08 16:17:14+02:00,26,6
2019-04-16 15:02:40+02:00,20,6,26
2019-04-25 11:03:36+02:00,6,18,14
2019-04-26 14:02:37+02:00,75,63,48,12,18,47,57,46,55,62,34,29,58,53,59,56,32,64,35,45,61,60
2019-04-26 14:21:28+02:00,55,29,14,68,60,48,47,61,64,56,46,59,45,57,63,75,53,62,35,32,34,58,12,18
2019-04-26 15:12:19+02:00,29,14,18
2019-04-26 15:21:40+02:00,14,18
2019-04-30 12:00:05+02:00,22,26,71,53,29,55,18,57,34,75,32,6
2019-05-01 10:50:52+02:00
2019-05-01 10:53:09+02:00
2019-05-01 13:01:44+02:00
2019-05-02 09:40:53+02:00,6
2019-05-02 12:06:27+02:00,46,68
2019-05-17 10:54:49+02:00,6
2019-05-17 12:13:35+02:00,26,6
2019-05-17 15:32:15+02:00,26,20
2019-05-20 12:52:25+02:00,26,6
2019-05-20 14:35:18+02:00
2019-05-20 14:50:57+02:00,52
2019-05-20 14:52:29+02:00,47
2019-05-22 01:17:28+02:00,14
2019-05-22 10:00:00+02:00
2019-05-24 16:44:09-04:00,48
2019-05-25 17:05:25+02:00
2019-05-27 09:27:33-04:00,45
2019-05-31 17:48:21-04:00,40
2019-05-31 17:51:37-04:00,40
2019-06-07 10:37:28+02:00,24,77
2019-06-11 14:25:09+02:00,14,22,24
2019-06-12 10:34:16+02:00
2019-06-14 17:21:52+02:00,14,22
2019-06-17 11:30:18+02:00,18
2019-06-17 13:19:25+02:00,22,14,34
2019-06-17 13:23:50+02:00,20
2019-06-17 14:11:09+02:00,68,0,52
2019-06-18 10:52:33+02:00,40
2019-06-18 15:23:44+02:00,40
2019-06-19 11:50:05+02:00,6,18
2019-06-25 14:49:02+02:00,14
2019-06-25 14:53:00+02:00
2019-06-26 10:04:46+02:00,52
2019-07-26 10:45:18+02:00,22,14
2019-07-26 10:56:55+02:00,22
2019-07-26 11:55:34+02:00
2019-07-26 13:09:09+02:00,14
2019-07-26 13:09:14+02:00
2019-07-26 14:04:14+02:00,14
2019-08-01 09:21:44+02:00,14
2019-08-01 09:30:19+02:00,52
2019-08-02 00:29:00+02:00,25
2019-08-03 09:45:26+02:00
2019-08-19 09:24:25+02:00,24
2019-08-19 09:24:39+02:00
2019-08-19 09:46:58+02:00,24
2019-08-19 09:48:35+02:00,24
2019-08-19 09:55:25+02:00,24
2019-08-19 10:04:35+02:00,24
2019-08-22 15:56:35+02:00,14
2019-09-16 15:40:17+02:00,82
2019-09-16 15:42:52+02:00,56
2019-09-20 11:37:12+02:00,83
2019-09-20 11:40:42+02:00,83
2019-09-20 11:43:51+02:00,83
2019-10-31 13:35:05+01:00,14,85,84
2019-10-31 14:53:24+01:00,85,14,22
2019-10-31 15:05:39+01:00,22
2019-10-31 15:22:27+01:00,22
2019-10-31 15:37:31+01:00,24,22
2019-10-31 15:51:53+01:00,14
2019-10-31 16:16:21+01:00,6,14
2019-12-10 14:53:21+01:00,46,34,82
2019-12-10 15:15:43+01:00,82
2019-12-10 15:15:52+01:00
2019-12-10 16:12:40+01:00,68,22,85,14
2019-12-10 16:17:36+01:00,82,68
2019-12-10 16:37:22+01:00,82
2019-12-11 15:51:27+01:00,86,89,88,91,90,87
2019-12-12 10:14:23+01:00,93,92
2019-12-12 10:35:37+01:00,93,92
2019-12-12 10:49:56+01:00,93,92
2019-12-12 11:14:11+01:00,82
2019-12-12 11:25:03+01:00
2019-12-12 11:27:24+01:00,85,82
2019-12-12 11:37:18+01:00,94,93,92
2019-12-12 11:38:28+01:00
2019-12-12 11:40:44+01:00,40
2019-12-12 11:54:59+01:00,40
